source,target,weight
210,2666,2.701920558589589
211,731,54.25775297543416
212,216,49.134845516413385
212,793,123.13208512669627
212,2648,123.80608958295505
213,745,72.1335569199822
213,770,65.43256009106717
213,788,20.25085645642471
214,773,7.783644865119334
214,1631,11.940685885143836
216,793,93.20328756274847
216,2648,93.94647552110429
217,306,11.119279178984334
217,1220,15.49267099119873
217,1570,14.893460063890316
218,300,26.574377910627003
218,363,44.33812656917013
218,370,57.60738934260415
218,1195,51.2140226489278
218,2073,61.49087759154158
218,2472,19.270016301763405
218,2499,18.93073765994512
219,359,44.51448261433291
219,1198,38.51705423878936
219,2568,32.89726168176775
220,1103,40.6111978157246
220,1318,40.63170322215782
220,2683,50.47402169610448
221,730,22.31194142837018
221,1011,38.29861599549718
221,1790,33.45041783839905
221,2131,58.7530404208351
222,481,46.87028124897341
222,2131,64.36227955217733
222,2486,41.50359556403777
223,387,44.13426981699754
223,817,42.94115611667482
223,1096,45.3570955379302
224,407,15.178667738272331
224,1182,43.716784355102156
224,1837,48.57962571608872
224,2691,59.13259351625659
225,543,56.645716053863595
225,586,70.12757550516514
225,1677,61.41109322322078
226,1145,73.25149760738854
226,1756,75.50979621977197
226,1846,39.388803421180775
226,2408,50.57476568640393
227,892,14.48501292359356
227,1612,25.394101685902395
227,2386,19.025250127982286
228,1060,33.90086955411224
228,1396,21.78464463671352
228,1781,10.138526926803506
229,690,41.58301445578136
229,691,15.611640725302287
229,2715,35.3086077165091
230,1675,18.05862678737308
230,2054,14.178822634470748
230,2278,40.7895120253581
231,683,49.59357316738726
231,1422,42.81738274296529
231,1993,39.397586975545615
232,1014,49.863910046584145
232,1615,33.799160439463684
232,2346,15.923346077305014
233,1314,29.26817924579401
233,1728,22.304740090149505
233,1797,23.37927662833864
233,1896,31.747302348249185
233,1974,9.561736063046377
234,681,6.556176460870571
234,1112,70.0675755552822
234,1244,44.91319021370181
234,1698,47.254733981691786
234,2346,42.120462030779905
235,686,19.36466130016026
235,2322,23.485199023989605
235,2330,37.133335228524274
235,2396,24.459067846657415
235,2470,69.98808665397577
236,686,13.382643228160864
236,1194,22.16332972618814
236,2110,16.398511647786314
236,2396,10.01868502861068
236,2455,19.194020146648455
237,919,67.07227031259858
237,2511,68.19533779254175
237,2682,74.49873909200288
238,322,33.38317426751989
238,1291,50.477632184221434
238,1588,41.630739384243874
239,872,56.28565767025243
239,919,55.74435918807043
239,2409,57.28551833625886
240,934,31.253870213513377
240,1154,19.837007680448437
240,2668,22.03720297669823
241,952,64.22378824981809
241,1248,35.7500284987311
241,1873,62.50059770980888
242,1263,20.31523429798986
242,1902,53.052154246861996
242,2030,42.91706823336028
242,2502,41.63572111315613
242,2563,33.70208208340913
243,865,52.617578536392365
243,976,40.869149034896374
243,1286,12.987607270733005
243,1593,54.17803406677979
244,1236,23.466462556234756
244,2096,31.272542793061486
244,2668,35.98666119366738
245,678,67.06811510518567
245,1329,103.4878548698145
245,2101,84.56823027673825
246,680,17.603455268200182
246,1166,32.86216267141174
246,1297,10.215915101145852
246,1344,18.57903810975423
246,2177,17.371685396693994
